rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
#,22,0,0,0,0,0,07,0,0,0,#
29,0,0,0,0,0,0,10,0,0,0,0
16,0,0,04,0,0,07,0,0,05,0,0
#,#,17,0,0,#,04,0,0,04,0,0
15,0,0,0,0,03,0,0,11,0,0,#
08,0,0,0,17,0,0,07,0,0,#,#
#,26,0,0,0,0,12,0,0,0,0,#
#,#,12,0,0,03,0,0,17,0,0,0
#,11,0,0,03,0,0,16,0,0,0,0
05,0,0,07,0,0,#,04,0,0,#,#
04,0,0,04,0,0,14,0,0,16,0,0
10,0,0,0,0,31,0,0,0,0,0,0
#,07,0,0,0,28,0,0,0,0,0,#
Vertical
#,#,24,16,20,07,04,#,10,04,15,#
#,14,0,0,0,0,0,#,0,0,0,07
#,0,0,0,0,0,0,08,0,0,0,0
#,0,0,38,0,0,#,0,0,#,0,0
#,03,07,0,0,#,09,0,0,21,0,0
#,0,0,0,0,16,0,0,04,0,0,#
#,0,0,0,15,0,0,04,0,0,23,#
#,#,0,0,0,0,03,0,0,0,0,05
#,#,15,0,0,08,0,0,30,0,0,0
#,07,0,0,10,0,0,#,0,0,0,0
#,0,0,#,0,0,#,23,0,0,21,14
#,0,0,04,0,0,03,0,0,04,0,0
#,0,0,0,0,#,0,0,0,0,0,0
#,#,0,0,0,#,0,0,0,0,0,#
