rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
#,16,0,0,23,0,0,0,12,0,0,0
37,0,0,0,0,0,0,0,07,0,0,0
22,0,0,0,0,0,#,26,0,0,0,0
#,17,0,0,#,#,17,0,0,08,0,0
33,0,0,0,0,0,0,0,17,0,0,0
13,0,0,07,0,0,0,04,0,0,#,#
#,06,0,0,0,#,#,07,0,0,0,#
#,#,03,0,0,07,0,0,0,16,0,0
12,0,0,0,34,0,0,0,0,0,0,0
08,0,0,03,0,0,#,#,17,0,0,#
28,0,0,0,0,#,22,0,0,0,0,0
10,0,0,0,37,0,0,0,0,0,0,0
23,0,0,0,23,0,0,0,14,0,0,#
Vertical
#,#,36,26,#,19,11,12,#,07,17,34
#,17,0,0,16,0,0,0,#,0,0,0
#,0,0,0,0,0,0,0,17,0,0,0
#,0,0,0,0,0,#,12,0,0,0,0
#,16,0,0,10,03,04,0,0,07,0,0
#,0,0,0,0,0,0,0,10,0,0,0
#,0,0,08,0,0,0,#,0,0,37,#
#,#,0,0,0,#,04,03,0,0,0,17
#,29,16,0,0,06,0,0,0,28,0,0
#,0,0,0,09,0,0,0,0,0,0,0
#,0,0,23,0,0,#,19,16,0,0,17
#,0,0,0,0,11,12,0,0,0,0,0
#,0,0,0,#,0,0,0,0,0,0,0
#,0,0,0,#,0,0,0,#,0,0,#
