rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
23,0,0,0,19,0,0,0,07,0,0,#
24,0,0,0,09,0,0,0,10,0,0,0
#,16,0,0,#,06,0,0,0,07,0,0
11,0,0,0,0,31,0,0,0,0,0,0
04,0,0,08,0,0,0,#,23,0,0,0
#,03,0,0,07,0,0,16,0,0,#,#
#,08,0,0,0,#,#,22,0,0,0,#
#,#,06,0,0,06,0,0,04,0,0,#
24,0,0,0,#,08,0,0,0,07,0,0
30,0,0,0,0,0,0,11,0,0,0,0
16,0,0,06,0,0,0,#,08,0,0,#
08,0,0,0,09,0,0,0,24,0,0,0
#,04,0,0,19,0,0,0,23,0,0,0
Vertical
#,16,33,29,#,04,22,20,#,04,23,#
#,0,0,0,#,0,0,0,#,0,0,30
#,0,0,0,#,0,0,0,04,0,0,0
#,03,0,0,05,#,0,0,0,31,0,0
#,0,0,0,0,04,0,0,0,0,0,0
#,0,0,24,0,0,0,#,17,0,0,0
#,#,0,0,03,0,0,#,0,0,31,#
#,#,0,0,0,#,22,04,0,0,0,#
#,29,27,0,0,#,0,0,04,0,0,04
#,0,0,0,04,20,0,0,0,29,0,0
#,0,0,0,0,0,0,#,0,0,0,0
#,0,0,03,0,0,0,04,#,0,0,14
#,0,0,0,#,0,0,0,#,0,0,0
#,#,0,0,#,0,0,0,#,0,0,0
